data_entry_person.x,observation_id.x,paper_no.x,author,year.x,taxon.x,taxon_big.x,co2_treatment_control_uatm.x,co2_treatment_elevated_uatm.x,deltaco2.x,deltaco2_av.x,deltaph.x,deltaph_av.x,co2_elevated_group.x,unit.x,food_supply.x,food_relative.x,food_relative_score.x,B,se_ambient.x,s_B,x95ci_ambient.x,n_B,AB,se_elevated.x,s_AB,x95ci_elevated.x,n_AB,notes.x,x31.x,x32.x,x33.x,x34.x,data_entry_person.y,observation_id.y,paper_no.y,year.y,taxon.y,taxon_big.y,co2_treatment_control_uatm.y,co2_treatment_elevated_uatm.y,deltaco2.y,deltaco2_av.y,deltaph.y,deltaph_av.y,co2_elevated_group.y,unit.y,food_supply.y,food_relative.y,food_relative_score.y,C,se_ambient.y,s_C,x95ci_ambient.y,n_C,A,se_elevated.y,s_A,x95ci_elevated.y,n_A,notes.y,x31.y,x32.y,x33.y,x34.y,log_AB,log_A,log_B,log_C,lnRR_interaction,sampling_variance_interaction,lnRR_overall_CO2,sampling_variance_overall_CO2,lnRR_overall_food,sampling_variance_overall_food
Kat,47,3,Hettinger,2013,oyster,bivalve,494,1065,571,563,0.3,0.3,elevated_1,shell growth (mm),High,natural,3,0.034772,9.12e-4,0.002039294,NA,5,0.031684,0.002035,0.004550398,NA,5,n was very poorly described,NA,NA,NA,NA,Kat,49,3,2013,oyster,bivalve,539,1094,555,563,0.3,0.3,elevated_1,shell growth (mm),Low,one tenth,1,0.030982,0.004912,0.010983566,NA,5,0.026702,0.002105,0.004706923,NA,5,n was very poorly described,NA,NA,NA,NA,-3.451943457380104,-3.6230168100142337,-3.3589428137653194,-3.474348888297966,0.05566727810148331,0.036163888360330555,-0.11884437064140307,0.008287512802043026,0.1415602358369461,0.009708818336641476
Joey,52,4,Thomsen,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.85862394,1.252214892,3.313049191,NA,7,NA,NA,NA,NA,NA,Joey,50,4,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.299811499,0.097078222,0.256844833,NA,7,NA,NA,NA,NA,NA,0.6198363967210113,-1.2046013384788157,0.8787229404367913,-1.6165318198019414,-0.6708170250389058,1.0780685694063503,-0.18858980487119037,0.5366928373416255,2.1471381877684075,0.24329536920763378
Joey,52,4,Thomsen,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.85862394,1.252214892,3.313049191,NA,7,NA,NA,NA,NA,NA,Joey,53,4,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1275,0.071,0.187848343,NA,7,NA,NA,NA,NA,NA,0.6198363967210113,-2.059638914383656,0.8787229404367913,-1.6165318198019414,0.1842205508659347,1.2833198474941212,-0.27178845979080835,0.5968818785652741,2.571374733515246,0.31409890434222465
Joey,52,4,Thomsen,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.85862394,1.252214892,3.313049191,NA,7,NA,NA,NA,NA,NA,Joey,56,4,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1033,0.0889,0.235207292,NA,7,NA,NA,NA,NA,NA,0.6198363967210113,-2.270117902856544,0.8787229404367913,-1.6165318198019414,0.39469953933882285,1.7138564269526126,-0.28404783648749954,0.6075240440314569,2.648486362352461,0.3712931310192149
Joey,55,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.843355325,0.893119698,2.362972613,NA,7,NA,NA,NA,NA,NA,Joey,50,4,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.299811499,0.097078222,0.256844833,NA,7,NA,NA,NA,NA,NA,0.6115874571747142,-1.2046013384788157,0.8787229404367913,-1.6165318198019414,-0.6790659645852029,0.8589010551840364,-0.19568887084263575,0.3738115409846441,2.1435530025637544,0.20181566420802766
Joey,55,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.843355325,0.893119698,2.362972613,NA,7,NA,NA,NA,NA,NA,Joey,53,4,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1275,0.071,0.187848343,NA,7,NA,NA,NA,NA,NA,0.6115874571747142,-2.059638914383656,0.8787229404367913,-1.6165318198019414,0.17597161131963746,1.0641523332718075,-0.279505806664445,0.404751680886071,2.567789548310593,0.27261919934261847
Joey,55,4,Thomsen,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.843355325,0.893119698,2.362972613,NA,7,NA,NA,NA,NA,NA,Joey,56,4,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1033,0.0889,0.235207292,NA,7,NA,NA,NA,NA,NA,0.6115874571747142,-2.270117902856544,0.8787229404367913,-1.6165318198019414,0.3864505997925256,1.4946889127302985,-0.29186074835807485,0.41067701992462957,2.644901177147808,0.3298134260196088
Joey,58,4,Thomsen,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.439773798,0.718378888,1.900651884,NA,7,NA,NA,NA,NA,NA,Joey,50,4,2013,Mussel,bivalve,380,1120,740,740,0.31,0.31,elevated_1,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.299811499,0.097078222,0.256844833,NA,7,NA,NA,NA,NA,NA,0.3644860165265899,-1.2046013384788157,0.8787229404367913,-1.6165318198019414,-0.9261674052333271,0.8731071253254454,-0.4043266805518453,0.37174680467735377,2.0438055454899766,0.20884013290563896
Joey,58,4,Thomsen,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.439773798,0.718378888,1.900651884,NA,7,NA,NA,NA,NA,NA,Joey,53,4,2013,Mussel,bivalve,380,2400,2020,2020,0.61,0.61,elevated_2,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1275,0.071,0.187848343,NA,7,NA,NA,NA,NA,NA,0.3644860165265899,-2.059638914383656,0.8787229404367913,-1.6165318198019414,-0.071129829328487,1.0783584034132163,-0.5086357546989009,0.41024476063686516,2.468042091236815,0.2796436680402298
Joey,58,4,Thomsen,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,High,full food,3,2.407822809,1.155136664,3.056204342,NA,7,1.439773798,0.718378888,1.900651884,NA,7,NA,NA,NA,NA,NA,Joey,56,4,2013,Mussel,bivalve,380,4e3,3620,3620,0.82,0.82,elevated_3,calcification per unit biomass: mg/mg*d,Low,one tenth,1,0.198586239,0.106786051,0.282529334,NA,7,0.1033,0.0889,0.235207292,NA,7,NA,NA,NA,NA,NA,0.3644860165265899,-2.270117902856544,0.8787229404367913,-1.6165318198019414,0.13934915914440116,1.5088949828717078,-0.5241970304686234,0.41815323319413233,2.5451537200740306,0.33683789471722014
Norah,60,5,Crook,2013,coral,coral,410,770,360,360,0.24,0.24,elevated_1,skeleton dry weight (mg),High,plentiful,3,48.8,3.466667,14.70782246,NA,18,36.8,3.466667,16.62555088,NA,23,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,Norah,59,5,2013,coral,coral,410,770,360,360,0.24,0.24,elevated_1,skeleton dry weight (mg),Low,low maintenance,1,10.98214,0.535714,2.512721388,NA,22,5.625,0.535714,2.834732036,NA,28,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,3.6054978451748854,1.7272209480904839,3.8877303128591016,2.396270316908733,0.3868169011340328,0.02537044172939521,-0.34296914302049863,0.010279385338889741,1.6398525597785691,0.005361412247447226
Norah,60,5,Crook,2013,coral,coral,410,770,360,360,0.24,0.24,elevated_1,skeleton dry weight (mg),High,plentiful,3,48.8,3.466667,14.70782246,NA,18,36.8,3.466667,16.62555088,NA,23,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,Norah,61,5,2013,coral,coral,410,1220,810,810,0.43,0.43,elevated_2,skeleton dry weight (mg),Low,low maintenance,1,10.93333,1.6,7.504665216,NA,22,6.964286,0.267857,1.312225948,NA,24,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,3.6054978451748854,1.9407950894141832,3.8877303128591016,2.391815921843893,0.16878836474549352,0.03681574714396044,-0.3110720594243168,0.01039765810824469,1.5650177635283526,0.011496123358367766
Norah,62,5,Crook,2013,coral,coral,410,1220,810,810,0.43,0.43,elevated_2,skeleton dry weight (mg),High,plentiful,3,48.8,3.466667,14.70782246,NA,18,37.86667,2.933333,13.75855133,NA,22,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,Norah,59,5,2013,coral,coral,410,770,360,360,0.24,0.24,elevated_1,skeleton dry weight (mg),Low,low maintenance,1,10.98214,0.535714,2.512721388,NA,22,5.625,0.535714,2.834732036,NA,28,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,3.6340713056471063,1.7272209480904839,3.8877303128591016,2.396270316908733,0.41539036160625376,0.02249704499815914,-0.318137528636389,0.008143616452981013,1.6522366574398286,0.004826725914112425
Norah,62,5,Crook,2013,coral,coral,410,1220,810,810,0.43,0.43,elevated_2,skeleton dry weight (mg),High,plentiful,3,48.8,3.466667,14.70782246,NA,18,37.86667,2.933333,13.75855133,NA,22,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,Norah,61,5,2013,coral,coral,410,1220,810,810,0.43,0.43,elevated_2,skeleton dry weight (mg),Low,low maintenance,1,10.93333,1.6,7.504665216,NA,22,6.964286,0.267857,1.312225948,NA,24,Crook data with N= individuals not jars,NA,NA,NA,extracted data from figs but have raw data and it gives slightly diff answers,3.6340713056471063,1.9407950894141832,3.8877303128591016,2.391815921843893,0.1973618252177145,0.033942350412724365,-0.2869912731235975,0.008402530245031624,1.5774018611896121,0.010961437025032965
Norah,64,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,372.1,0.26,0.26,elevated_1,calcification per unit biomass: mg/mg*d,High,ad libitum,4,0.240788,0.020192,0.063852711,NA,10,0.220358,0.018346,0.058015146,NA,10,Edmunds data with N= individuals not tanks,NA,NA,NA,NA,Norah,63,6,2011,coral,coral,412.5,784.6,372.1,372.1,0.26,0.26,elevated_1,calcification per unit biomass: mg/mg*d,Low,starvation,0,0.249864,0.019266,0.060924441,NA,10,0.210166,0.020183,0.06382425,NA,10,Edmunds data with N= individuals not tanks,NA,NA,NA,NA,-1.5125017824761695,-1.55985758433595,-1.4238384006762637,-1.3868385091415756,0.08435569339446847,0.029131412113305916,-0.13073204742682965,0.007249056559736911,0.0024229909289695817,0.007178774021190925
Norah,67,7,Comeau,2013,coral,coral,377,708.5,331.5,331.5,0.25,0.25,elevated_1,calcification per unit biomass: CaCO3 day-1 mg-2,High,ad libitum,4,0.110164,0.010492,0.025700046,NA,6,0.104918,0.018361,0.044975081,NA,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light",NA,NA,NA,NA,Norah,65,7,2013,coral,coral,377,708.5,331.5,331.5,0.25,0.25,elevated_1,calcification per unit biomass: CaCO3 day-1 mg-2,Low,starvation,0,0.215082,0.039344,0.096372724,NA,6,0.16918,0.020984,0.051400093,NA,6,"They did have starvation, low, and high but Ramajo only used starvation and high food .... used high light",NA,NA,NA,NA,-2.254576186307734,-1.7767920421062686,-2.205785114400335,-1.5367359282183555,0.19126504198051442,0.08854288696448723,-0.17109611240981937,0.02602177533033739,-0.5803052608354725,0.023132720441936344
Kat,70,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,561.3,0.28,0.305,elevated_1,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),High,one fifth,1,1.375634518,0.352222107,0.862764439,0.69035533,6,1.025380711,0.170931317,0.418694507,0.335025381,6,NA,NA,NA,NA,NA,Kat,68,8,2014,Barnacle,crustacean,526.4,1141.7,615.3,561.3,0.33,0.305,elevated_1,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Low,one fifth,1,1.38071066,0.258986843,0.634385617,0.507614213,6,1.012690355,0.265461515,0.650245257,0.520304569,6,NA,NA,NA,NA,NA,0.025063968994899367,0.012610507266115036,0.3189150923114541,0.3225983376315383,0.016136707048868493,0.19724632839227263,-0.30190178666368495,0.0491572193179359,0.0031762867527613814,0.05059927793400938
Kat,70,8,Pansch,2014,Barnacle,crustacean,596.8,1104.1,507.3,561.3,0.28,0.305,elevated_1,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),High,one fifth,1,1.375634518,0.352222107,0.862764439,0.69035533,6,1.025380711,0.170931317,0.418694507,0.335025381,6,NA,NA,NA,NA,NA,Kat,69,8,2014,Barnacle,crustacean,526.4,3255.9,2729.5,2648.65,0.8,0.78,elevated_2,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Low,full,3,1.38071066,0.258986843,0.634385617,0.507614213,6,0.220993201,0.11104486,0.272003246,0.217647926,6,NA,NA,NA,NA,NA,0.025063968994899367,-1.50962334264351,0.3189150923114541,0.3225983376315383,1.5383705569584933,0.3810186514313559,-0.7936671260825564,0.05190374035720774,0.4048236842398613,0.05753993072634192
Kat,71,8,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,2648.65,0.76,0.78,elevated_2,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),High,full,3,1.375634518,0.352222107,0.862764439,0.69035533,6,0.631193084,0.245389457,0.601078959,0.480963337,6,NA,NA,NA,NA,NA,Kat,68,8,2014,Barnacle,crustacean,526.4,1141.7,615.3,561.3,0.33,0.305,elevated_1,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Low,one fifth,1,1.38071066,0.258986843,0.634385617,0.507614213,6,1.012690355,0.265461515,0.650245257,0.520304569,6,NA,NA,NA,NA,NA,-0.4601434664179778,0.012610507266115036,0.3189150923114541,0.3225983376315383,-0.4690707283640087,0.3206000800305531,-0.5168441980486715,0.07351777572671483,-0.17616020547111255,0.06976718719320607
Kat,71,8,Pansch,2014,Barnacle,crustacean,596.8,3164.6,2567.8,2648.65,0.76,0.78,elevated_2,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),High,full,3,1.375634518,0.352222107,0.862764439,0.69035533,6,0.631193084,0.245389457,0.601078959,0.480963337,6,NA,NA,NA,NA,NA,Kat,69,8,2014,Barnacle,crustacean,526.4,3255.9,2729.5,2648.65,0.8,0.78,elevated_2,Calcification Rate- Tjarno (umol CaCO3  gDW-1  h-1 ),Low,full,3,1.38071066,0.258986843,0.634385617,0.507614213,6,0.220993201,0.11104486,0.272003246,0.217647926,6,NA,NA,NA,NA,NA,-0.4601434664179778,-1.50962334264351,0.3189150923114541,0.3225983376315383,1.0531631215456163,0.5043724030696364,-1.173855723003314,0.12505421840261785,0.22548719201598738,0.07670783998553861
Kat,74,9,Ramajo,2016,Scallop,bivalve,552,1519,967,933,0.45,0.45,elevated_1,Calcification Rate (umol CaCO3  g-1  h-1 ),High,full,3,9.251825,2.354015,4.077273,NA,3,17.90146,4.708029,8.154546,NA,3,NA,NA,NA,NA,NA,Kat,72,9,2016,Scallop,bivalve,405,1304,899,933,0.45,0.45,elevated_1,Calcification Rate (umol CaCO3  g-1  h-1 ),Low,2 % food,1,3.722628,2.408759,4.172093,NA,3,7.773723,3.832117,6.637421,NA,3,NA,NA,NA,NA,NA,2.8848822737663373,2.0507492002027234,2.224820829361079,1.3144298704784794,-0.07625788531898592,0.7955983676255368,0.682542613178077,0.12328673730021222,0.8594683528661391,0.19259017541029955
Norah,76,11,Drenkard,2013,Coral,coral,443,1344,901,890.5,0.4,0.4,elevated_1,Corralite weight (ug),High,fed,3,546.6192,19.21708,33.28495893,NA,3,420.6406,29.89324,51.77661048,NA,3,NA,NA,NA,NA,NA,Norah,75,11,2013,Coral,coral,398,1278,880,890.5,0.4,0.4,elevated_1,Corralite weight (ug),Low,starvation,0,350.1779,10.67616,18.49165155,NA,3,249.8221,6.4056940000000004,11.09498747,NA,3,NA,NA,NA,NA,NA,6.041778787378424,5.52074906455479,6.303752399111962,5.858441311064317,0.07571863477598839,0.007873305509175242,-0.29086156698527965,0.0026800987531288892,0.4775374701301569,0.001780435838803581
Norah,78,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,616.8,0.32,0.315,elevated_1,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,72.6,26.5,53,NA,4,NA,NA,NA,NA,NA,Norah,77,12,2011,Mussel,bivalve,542.8,1125.1,582.3,616.8,0.31,0.315,elevated_1,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,21.8,5.6,11.2,NA,4,NA,NA,NA,NA,NA,4.28496492183075,3.0819099697950434,4.254193263163997,3.190476350346503,0.1393380392182122,0.40225251373181825,-0.003172927040577811,0.18977760978032637,1.1320316802573043,0.09865153046446663
Norah,78,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,616.8,0.32,0.315,elevated_1,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,72.6,26.5,53,NA,4,NA,NA,NA,NA,NA,Norah,79,12,2011,Mussel,bivalve,542.8,2309.4,1766.6,1914.6,0.61,0.615,elevated_2,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,39.5,6.75,13.5,NA,4,NA,NA,NA,NA,NA,4.28496492183075,3.676300671907076,4.254193263163997,3.190476350346503,-0.4550526628938205,0.3654668532130928,0.16867732988608175,0.16696343878300096,0.8070914399091631,0.09379360904181505
Norah,78,12,Melzner,2011,Mussel,bivalve,523.1,1174.4,651.3,616.8,0.32,0.315,elevated_1,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,72.6,26.5,53,NA,4,NA,NA,NA,NA,NA,Norah,81,12,2011,Mussel,bivalve,542.8,3957.6,3414.8,3399.95,0.82,0.84,elevated_3,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,8.9,4.1,8.2,NA,4,NA,NA,NA,NA,NA,4.28496492183075,2.186051276738094,4.254193263163997,3.190476350346503,1.0351967322751614,0.5484854814668907,-0.15011097994521538,0.21571008307217215,1.4602947543374638,0.10166150552268788
Norah,80,12,Melzner,2011,Mussel,bivalve,523.1,2585.7,2062.6,1914.6,0.62,0.615,elevated_2,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,39.9,10.05,20.1,NA,4,NA,NA,NA,NA,NA,Norah,77,12,2011,Mussel,bivalve,542.8,1125.1,582.3,616.8,0.31,0.315,elevated_1,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,21.8,5.6,11.2,NA,4,NA,NA,NA,NA,NA,3.686376323895818,3.0819099697950434,4.254193263163997,3.190476350346503,-0.45925055871671994,0.33246084133899706,-0.42843006928069016,0.142223792157792,0.8723909762568542,0.10450392219818348
Norah,80,12,Melzner,2011,Mussel,bivalve,523.1,2585.7,2062.6,1914.6,0.62,0.615,elevated_2,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,39.9,10.05,20.1,NA,4,NA,NA,NA,NA,NA,Norah,79,12,2011,Mussel,bivalve,542.8,2309.4,1766.6,1914.6,0.61,0.615,elevated_2,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,39.5,6.75,13.5,NA,4,NA,NA,NA,NA,NA,3.686376323895818,3.676300671907076,4.254193263163997,3.190476350346503,-1.0536412608287526,0.2956751808202716,-0.17621563193894207,0.13070279384197697,0.5474507359087131,0.0996460007755319
Norah,80,12,Melzner,2011,Mussel,bivalve,523.1,2585.7,2062.6,1914.6,0.62,0.615,elevated_2,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,39.9,10.05,20.1,NA,4,NA,NA,NA,NA,NA,Norah,81,12,2011,Mussel,bivalve,542.8,3957.6,3414.8,3399.95,0.82,0.84,elevated_3,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,8.9,4.1,8.2,NA,4,NA,NA,NA,NA,NA,3.686376323895818,2.186051276738094,4.254193263163997,3.190476350346503,0.43660813434022927,0.4786938090740695,-0.6629836873329307,0.15692571567070482,1.2006540503370138,0.10751389725640473
Norah,82,12,Melzner,2011,Mussel,bivalve,523.1,3908.2,3385.1,3399.95,0.86,0.84,elevated_3,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,44.2,9.4,18.8,NA,4,NA,NA,NA,NA,NA,Norah,77,12,2011,Mussel,bivalve,542.8,1125.1,582.3,616.8,0.31,0.315,elevated_1,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,21.8,5.6,11.2,NA,4,NA,NA,NA,NA,NA,3.7887247890836524,3.0819099697950434,4.254193263163997,3.190476350346503,-0.35690209352888536,0.31424585262269694,-0.36105925816560713,0.13493852756693867,0.9106348542780367,0.09713221797803705
Norah,82,12,Melzner,2011,Mussel,bivalve,523.1,3908.2,3385.1,3399.95,0.86,0.84,elevated_3,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,44.2,9.4,18.8,NA,4,NA,NA,NA,NA,NA,Norah,79,12,2011,Mussel,bivalve,542.8,2309.4,1766.6,1914.6,0.61,0.615,elevated_2,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,39.5,6.75,13.5,NA,4,NA,NA,NA,NA,NA,3.7887247890836524,3.676300671907076,4.254193263163997,3.190476350346503,-0.9512927956409185,0.2774601921039715,-0.12347502269660282,0.12657084429215454,0.5856946139298955,0.09227429655538547
Norah,82,12,Melzner,2011,Mussel,bivalve,523.1,3908.2,3385.1,3399.95,0.86,0.84,elevated_3,Shell mass growth (mg),High,natural,2,70.4,30.95,61.9,NA,4,44.2,9.4,18.8,NA,4,NA,NA,NA,NA,NA,Norah,81,12,2011,Mussel,bivalve,542.8,3957.6,3414.8,3399.95,0.82,0.84,elevated_3,Shell mass growth (mg),Low,low no filter,1,24.3,2.4,4.8,NA,4,8.9,4.1,8.2,NA,4,NA,NA,NA,NA,NA,3.7887247890836524,2.186051276738094,4.254193263163997,3.190476350346503,0.5389565995280639,0.4604788203577694,-0.578537071944139,0.14475408203624118,1.2388979283581962,0.10014219303625829
Norah,84,15,Maier,2016,Coral,coral,438,805,367,367,NA,NA,elevated_2,Net calcification umol/g skelteal mass/hr,High,NA,NA,0.091,0.027,0.040696437,NA,5,0.07293578,0.026146789,0.032617872,NA,5,NA,NA,NA,NA,NA,Norah,83,15,2016,Coral,coral,438,805,367,367,NA,NA,elevated_1,Net calcification umol/g skelteal mass/hr,Low,NA,NA,0.043,0.025,0.019230185,NA,5,0.063990826,0.024082569,0.028617567,NA,5,NA,NA,NA,NA,NA,-2.61817595104718,-2.7490155496471624,-2.396895772465287,-3.146555163288575,-0.6188197922233054,0.15999999919935287,0.02160525969883831,0.04265162396786452,0.4267316733003652,0.0410126719847614
Norah,86,16,Swezey,2017,Bryozoan,Bryozoan,385,1050,665,665,NA,NA,NA,proportion Zooid Mg/Ca > 12,High,NA,NA,0.159761964,0.045068187,0.127472084,NA,8,0.233830895,0.067602281,0.191208126,NA,8,NA,NA,NA,NA,NA,Norah,85,16,2017,Bryozoan,Bryozoan,385,1050,665,665,NA,NA,NA,proportion Zooid Mg/Ca > 12,Low,NA,NA,0.297346888,0.101443094,0.2869244,NA,8,0.224983883,0.056335234,0.159340105,NA,8,NA,NA,NA,NA,NA,-1.4531570958171245,-1.4917265104544586,-1.8340702965099807,-1.212855848665367,0.6597838624819476,0.3422504648119669,0.0037250441341100116,0.09575609624707077,-0.28298402589490546,0.09196255966590226
