Data_entry_person,Observation_ID,study,Paper_no,Author,Year,Taxon,Taxon.big,"CO2 treatment (control, uatm)","CO2 treatment (elevated, uatm)",DeltaCO2,DeltapH,Unit,Treatment,CO2,Food.supply,Food.relative,Food.relative score,Mean,SE,SD_Ambient,95CI,N,,,,,,,,,,,
Norah,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),AmbientLow,Ambient,Low,starvation,0,3.992958,0.492958,1.207495565,,6,,,,,,,,,,,
Norah,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),AmbientHigh,Ambient,High,ad libitum,4,8.774648,0.985915,2.41498868,,6,,,,,,,,,,,
Norah,23,15,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),ElevatedLow,Elevated,Low,starvation,0,4.190141,0.788732,1.931990944,,6,,,,,,,,,,,
Norah,25,17,7,Comeau,2013,coral,coral,377,708.5,331.5,0.25,biomass (mg/cm2),ElevatedHigh,Elevated,High,ad libitum,4,9.56338,2.267606,5.554477638,,6,,,,,,,,,,,
Norah,17,11,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),AmbientLow,Ambient,Low,low maintenance,1,8.62069,,1.293103,,34,,,,,,,,,,,
Norah,18,12,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),AmbientHigh,Ambient,High,plentiful,3,81.03448,,9.051724,,23,,,,,,,,,,,
Norah,17,11,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),ElevatedLow,Elevated,Low,low maintenance,1,7.758621,,0.862069,,38,,,,,,,,,,,
Norah,18,12,5,Crook_1,2013,coral,coral,410,770,360,0.24,volume (mm3),ElevatedHigh,Elevated,High,plentiful,3,78.87931,,7.758621,,23,,,,,,,,,,,
Norah,19,11,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),AmbientLow,Ambient,Low,low maintenance,1,8.62069,,1.293103,,34,,,,,,,,,,,
Norah,20,12,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),AmbientHigh,Ambient,High,plentiful,3,81.03448,,9.051724,,23,,,,,,,,,,,
Norah,19,11,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),ElevatedLow,Elevated,Low,low maintenance,1,8.189655,,1.293103,,29,,,,,,,,,,,
Norah,20,12,5,Crook_2,2013,coral,coral,410,1220,810,0.43,volume (mm3),ElevatedHigh,Elevated,High,plentiful,3,84.91379,,5.603448,,22,,,,,,,,,,,
Norah,39,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),AmbientLow,Ambient,Low,starvation,0,1385.96,,26.32,,3,,,,,,,,,,,Used LOW TEMP as control as in paper
Norah,40,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),AmbientHigh,Ambient,High,fed,3,2132,,60.03,,3,,,,,,,,,,,
Norah,39,27,11,Drenkard,2013,Coral,coral,398,1278,880,0.4,septa diameter (um),ElevatedLow,Elevated,Low,starvation,0,1322,,42.39,,3,,,,,,,,,,,
Norah,40,28,11,Drenkard,2013,Coral,coral,443,1344,901,0.4,septa diameter (um),ElevatedHigh,Elevated,High,fed,3,2062,,44.19,,3,,,,,,,,,,,
Norah,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),AmbientLow,Ambient,Low,starvation,0,5.1796,,0.8204,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Norah,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),AmbientHigh,Ambient,High,ad libitum,4,6.951,,0.439,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Norah,21,13,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),ElevatedLow,Elevated,Low,starvation,0,5.098,,0.487,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Norah,22,14,6,Edmunds,2011,coral,coral,412.5,784.6,372.1,0.26,biomass (mg/cm2),ElevatedHigh,Elevated,High,ad libitum,4,7.561,,0.869,,10,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,47,5,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,shell growth (mm),AmbientHigh,Ambient,High,natural,3,0.034772,0.000912,0.002039294,,5,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,49,7,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,shell growth (mm),AmbientLow,Ambient,Low,one tenth,1,0.030982,0.004912,0.010983566,,5,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,47,5,3,Hettinger,2013,oyster,bivalve,494,1065,571,0.3,shell growth (mm),ElevatedHigh,Elevated,High,natural,3,0.031684,0.002035,0.004550398,,5,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Kat,49,7,3,Hettinger,2013,oyster,bivalve,539,1094,555,0.3,shell growth (mm),ElevatedLow,Elevated,Low,one tenth,1,0.026702,0.002105,0.004706923,,5,,,,,,,,,,,NB: should we use the metric dry weight here instead of size?? 
Norah,41,29,12,Melzner_1,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,length growth,AmbientLow,Ambient,Low,low no filter,1,1.2,0.15,0.3,,4,,,,,,,,,,,
Norah,41,29,12,Melzner_1,2011,Mussel,bivalve,542.8,1125.1,582.3,0.31,length growth,ElevatedLow,Elevated,Low,low no filter,1,1.5,0.2,0.4,,4,,,,,,,,,,,
Norah,42,30,12,Melzner_1,2011,Mussel,bivalve,523.1,1174.4,651.3,0.32,length growth,AmbientHigh,Ambient,High,natural,2,2.6,0.6,1.2,,4,,,,,,,,,,,
Norah,42,30,12,Melzner_1,2011,Mussel,bivalve,523.1,1174.4,651.3,0.32,length growth,ElevatedHigh,Elevated,High,natural,2,3,0.4,0.8,,4,,,,,,,,,,,
Norah,43,29,12,Melzner_2,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,length growth,AmbientLow,Ambient,Low,low no filter,1,1.2,0.15,0.3,,4,,,,,,,,,,,
Norah,43,29,12,Melzner_2,2011,Mussel,bivalve,542.8,2309.4,1766.6,0.61,length growth,ElevatedLow,Elevated,Low,low no filter,1,1.1,0.15,0.3,,4,,,,,,,,,,,
Norah,44,30,12,Melzner_2,2011,Mussel,bivalve,523.1,2585.7,2062.6,0.62,length growth,AmbientHigh,Ambient,High,natural,2,2.6,0.6,1.2,,4,,,,,,,,,,,
Norah,44,30,12,Melzner_2,2011,Mussel,bivalve,523.1,2585.7,2062.6,0.62,length growth,ElevatedHigh,Elevated,High,natural,2,2.5,0.2,0.4,,4,,,,,,,,,,,
Norah,45,29,12,Melzner_3,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,length growth,AmbientLow,Ambient,Low,low no filter,1,1.2,0.15,0.3,,4,,,,,,,,,,,
Norah,45,29,12,Melzner_3,2011,Mussel,bivalve,542.8,3957.6,3414.8,0.82,length growth,ElevatedLow,Elevated,Low,low no filter,1,0.6,0.1,0.2,,4,,,,,,,,,,,
Norah,46,30,12,Melzner_3,2011,Mussel,bivalve,523.1,3908.2,3385.1,0.86,length growth,AmbientHigh,Ambient,High,natural,2,2.6,0.6,1.2,,4,,,,,,,,,,,
Norah,46,30,12,Melzner_3,2011,Mussel,bivalve,523.1,3908.2,3385.1,0.86,length growth,ElevatedHigh,Elevated,High,natural,2,1.8,0.25,0.5,,4,,,,,,,,,,,
Norah,50,31,13,Oddvarsdotter,2014,Copepod,crustacean,485.88,2292.94,1807.06,0.63,Carbon content per larva (ug C per individual),AmbientLow,Ambient,Low,low,1,0.4367,0.048151012,0.0834,,3,,,,,,,,,,,
Norah,50,31,13,Oddvarsdotter,2014,Copepod,crustacean,485.88,2292.94,1807.06,0.63,Carbon content per larva (ug C per individual),ElevatedLow,Elevated,Low,low,1,0.464,0.04330127,0.075,,3,,,,,,,,,,,
Norah,51,32,13,Oddvarsdotter,2014,Copepod,crustacean,484.69,2516.39,2031.7,0.67,Carbon content per larva (ug C per individual),AmbientHigh,Ambient,High,high,2,1.039,0.04387862,0.076,,3,,,,,,,,,,,
Norah,51,32,13,Oddvarsdotter,2014,Copepod,crustacean,484.69,2516.39,2031.7,0.67,Carbon content per larva (ug C per individual),ElevatedHigh,Elevated,High,high,2,0.947,0.035218366,0.061,,3,,,,,,,,,,,
Joey,3,3,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),AmbientLow,Ambient,Low,starvation,0,240.41,11.58,81.91,,50,,,,,,,,,,,
Joey,4,4,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),AmbientHigh,Ambient,High,ad libitum,4,336.98166,11.58,81.91,,50,,,,,,,,,,,
Joey,3,3,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),ElevatedLow,Elevated,Low,starvation,0,237.297,11.58,81.907714,,50,,,,,,,,,,,
Joey,4,4,2,Pan,2015,urchin,echinoderm,431.9,800.6,368.7,0.2,body length (um),ElevatedHigh,Elevated,High,ad libitum,4,339.27267,11.58,81.907714,,50,,,,,,,,,,,
Kat,26,18,8,Pansch_1,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,size- Kiel (mm),AmbientLow,Ambient,Low,one fifth,1,8.372093,0.213573802,0.604077933,0.418604651,8,,,,,,,,,,,
Kat,26,18,8,Pansch_1,2014,Barnacle,crustacean,453.6,949.7,496.1,0.35,size- Kiel (mm),ElevatedLow,Elevated,Low,one fifth,1,8.491694,0.274594898,0.776671658,0.538206,8,,,,,,,,,,,
Kat,27,19,8,Pansch_1,2014,Barnacle,crustacean,499,981.5,482.5,0.37,size- Kiel (mm),AmbientHigh,Ambient,High,full,3,12.85714286,0.457658146,1.294452715,0.897009967,8,,,,,,,,,,,
Kat,27,19,8,Pansch_1,2014,Barnacle,crustacean,499,981.5,482.5,0.37,size- Kiel (mm),ElevatedHigh,Elevated,High,full,3,12.79734,0.305105612,0.86296899,0.598007,8,,,,,,,,,,,
Kat,28,18,8,Pansch_3,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,size- Kiel (mm),AmbientLow,Ambient,Low,one fifth,1,8.372093,0.213573802,0.604077933,0.418604651,8,,,,,,,,,,,
Kat,28,18,8,Pansch_3,2014,Barnacle,crustacean,453.6,2690.4,2236.8,0.87,size- Kiel (mm),ElevatedLow,Elevated,Low,one fifth,1,8.431894,0.183063259,0.517781086,0.358803987,8,,,,,,,,,,,
Kat,29,19,8,Pansch_3,2014,Barnacle,crustacean,499,2750,2251,0.91,size- Kiel (mm),AmbientHigh,Ambient,High,full,3,12.85714286,0.457658146,1.294452715,0.897009967,8,,,,,,,,,,,
Kat,29,19,8,Pansch_3,2014,Barnacle,crustacean,499,2750,2251,0.91,size- Kiel (mm),ElevatedHigh,Elevated,High,full,3,12.91694352,0.366126517,1.035562171,0.717607973,8,,,,,,,,,,,
Kat,31,21,8,Pansch_2,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,size- Tjarno(mm),AmbientHigh,Ambient,High,full,3,3.641196013,0.149162655,0.365372394,0.292358804,6,,,,,,,,,,,
Kat,31,21,8,Pansch_2,2014,Barnacle,crustacean,596.8,1104.1,507.3,0.28,size- Tjarno(mm),ElevatedHigh,Elevated,High,full,3,3.800664452,0.176283138,0.431803738,0.34551495,6,,,,,,,,,,,
Kat,30,20,8,Pansch_2,2014,Barnacle,crustacean,526.4,1141.7,615.3,0.33,size- Tjarno(mm),AmbientLow,Ambient,Low,one fifth,1,2.976744186,0.230524104,0.564666427,0.451827243,6,,,,,,,,,,,
Kat,30,20,8,Pansch_2,2014,Barnacle,crustacean,526.4,1141.7,615.3,0.33,size- Tjarno(mm),ElevatedLow,Elevated,Low,one fifth,1,2.897009967,0.284765069,0.697529115,0.558139535,6,,,,,,,,,,,
Kat,33,21,8,Pansch_4,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,size- Tjarno(mm),AmbientHigh,Ambient,High,full,3,3.641196013,0.149162655,0.365372394,0.292358804,6,,,,,,,,,,,
Kat,33,21,8,Pansch_4,2014,Barnacle,crustacean,596.8,3164.6,2567.8,0.76,size- Tjarno(mm),ElevatedHigh,Elevated,High,full,3,3.61461794,0.230524104,0.564666427,0.451827243,6,,,,,,,,,,,
Kat,32,20,8,Pansch_4,2014,Barnacle,crustacean,526.4,3255.9,2729.5,0.8,size- Tjarno(mm),AmbientLow,Ambient,Low,one fifth,1,2.976744186,0.230524104,0.564666427,0.451827243,6,,,,,,,,,,,
Kat,32,20,8,Pansch_4,2014,Barnacle,crustacean,526.4,3255.9,2729.5,0.8,size- Tjarno(mm),ElevatedLow,Elevated,Low,one fifth,1,2.976744186,0.433927724,1.062901509,0.850498339,6,,,,,,,,,,,
Kat,34,22,9,Ramajo,2016,Scallop,bivalve,405,1304,899,0.45,growth (mm d-1),AmbientLow,Ambient,Low,one/50,1,0.009295,0.002306,0.003994109,,3,,,,,,,,,,,
Kat,36,24,9,Ramajo,2016,Scallop,bivalve,552,1519,967,0.45,growth (mm d-1),AmbientHigh,Ambient,High,full,3,0.016055,0.003282,0.005684591,,3,,,,,,,,,,,
Kat,34,22,9,Ramajo,2016,Scallop,bivalve,405,1304,899,0.45,growth (mm d-1),ElevatedLow,Elevated,Low,one/50,1,0.016656,0.00408,0.007066767,,3,,,,,,,,,,,
Kat,36,24,9,Ramajo,2016,Scallop,bivalve,552,1519,967,0.45,growth (mm d-1),ElevatedHigh,Elevated,High,full,3,0.03335,0.003459,0.005991164,,3,,,,,,,,,,,
Joey,8,8,4,Thomsen_1,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),AmbientLow,Ambient,Low,one tenth,1,1422.22,134.3852684,355.55,,7,,,,,,,,,,,
Joey,10,10,4,Thomsen_1,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),AmbientHigh,Ambient,High,full food,3,3875,250.9684101,664,,7,,,,,,,,,,,
Joey,8,8,4,Thomsen_1,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),ElevatedLow,Elevated,Low,one tenth,1,1806,142.4926063,377,,7,,,,,,,,,,,
Joey,10,10,4,Thomsen_1,2013,Mussel,bivalve,380,1120,740,0.31,shell length (um),ElevatedHigh,Elevated,High,full food,3,3342,215.137378,569.2,,7,,,,,,,,,,,
Joey,11,8,4,Thomsen_2,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),AmbientLow,Ambient,Low,one tenth,1,1422.22,134.3852684,355.55,,7,,,,,,,,,,,
Joey,13,10,4,Thomsen_2,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),AmbientHigh,Ambient,High,full food,3,3875,250.9684101,664,,7,,,,,,,,,,,
Joey,11,8,4,Thomsen_2,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),ElevatedLow,Elevated,Low,one tenth,1,1464.8,99.55584219,263.4,,7,,,,,,,,,,,
Joey,13,10,4,Thomsen_2,2013,Mussel,bivalve,380,2400,2020,0.61,shell length (um),ElevatedHigh,Elevated,High,full food,3,3471.4,238.457786,630.9,,7,,,,,,,,,,,
Joey,14,8,4,Thomsen_3,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),AmbientLow,Ambient,Low,one tenth,1,1422.22,134.3852684,355.55,,7,,,,,,,,,,,
Joey,16,10,4,Thomsen_3,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),AmbientHigh,Ambient,High,full food,3,3875,250.9684101,664,,7,,,,,,,,,,,
Joey,14,8,4,Thomsen_3,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),ElevatedLow,Elevated,Low,one tenth,1,1300.6,28.23394613,74.7,,7,,,,,,,,,,,
Joey,16,10,4,Thomsen_3,2013,Mussel,bivalve,380,4000,3620,0.82,shell length (um),ElevatedHigh,Elevated,High,full food,3,3379.5,256.0709305,677.5,,7,,,,,,,,,,,
Kat,37,25,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),AmbientLow,Ambient,Low,starvation,0,1.380822,0.086301,0.272907724,,10,,,,,,,,,,,
Kat,38,26,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),AmbientHigh,Ambient,High,ad libitum,4,1.300913,0.099087,0.313340607,,10,,,,,,,,,,,
Kat,37,25,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),ElevatedLow,Elevated,Low,starvation,0,1.006849,0.09589,0.303230805,,10,,,,,,,,,,,
Kat,38,26,10,Towle,2015,Coral,coral,380,789,409,0.26,growth (mg cm-2 d-1),ElevatedHigh,Elevated,High,ad libitum,4,1.32968,0.089498,0.283017526,,10,,,,,,,,,,,
